2018-6-20 10:32:34|127.0.0.1|vitas|system_schema.dashboard|administration.users_attributes|insert|pertis
2018-6-20 10:43:47|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 10:46:14|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 10:48:47|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 10:51:17|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 10:53:22|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 12:50:32|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-20 12:51:15|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-24 18:15:59|::1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-24 18:16:2|::1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-24 18:16:11|::1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-24 18:16:42|::1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-24 18:17:50|::1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
2018-6-25 13:53:37|127.0.0.1|vitas|system_schema.dashboard|system_schema.dashboard_items|update|pertis
